,TIPO,DATA COM,PAGAMENTO,VALOR,FUNDO
0,RENDIMENTO,29/01/2021,12/02/2021,"0,78000000",HGLG11
1,RENDIMENTO,30/12/2020,15/01/2021,"2,63000000",HGLG11
2,RENDIMENTO,30/11/2020,14/12/2020,"0,78000000",HGLG11
3,RENDIMENTO,30/10/2020,16/11/2020,"0,78000000",HGLG11
4,RENDIMENTO,30/09/2020,15/10/2020,"0,60000000",HGLG11
5,RENDIMENTO,31/08/2020,15/09/2020,"0,78000000",HGLG11
6,RENDIMENTO,31/07/2020,14/08/2020,"0,78000000",HGLG11
7,RENDIMENTO,30/06/2020,14/07/2020,"0,78000000",HGLG11
8,RENDIMENTO,29/05/2020,12/06/2020,"0,78000000",HGLG11
9,RENDIMENTO,30/04/2020,15/05/2020,"0,78000000",HGLG11
10,RENDIMENTO,31/03/2020,15/04/2020,"0,78000000",HGLG11
11,RENDIMENTO,28/02/2020,13/03/2020,"0,78000000",HGLG11
12,RENDIMENTO,31/01/2020,14/02/2020,"0,78000000",HGLG11
13,RENDIMENTO,30/12/2019,15/01/2020,"0,78000000",HGLG11
14,RENDIMENTO,29/11/2019,13/12/2019,"0,78000000",HGLG11
15,RENDIMENTO,31/10/2019,14/11/2019,"0,78000000",HGLG11
16,RENDIMENTO,30/09/2019,14/10/2019,"0,78000000",HGLG11
17,RENDIMENTO,30/08/2019,13/09/2019,"0,75000000",HGLG11
18,RENDIMENTO,31/07/2019,14/08/2019,"0,75000000",HGLG11
19,RENDIMENTO,28/06/2019,12/07/2019,"0,75000000",HGLG11
20,RENDIMENTO,31/05/2019,14/06/2019,"0,75000000",HGLG11
21,RENDIMENTO,30/04/2019,15/05/2019,"0,75000000",HGLG11
22,RENDIMENTO,29/03/2019,12/04/2019,"0,75000000",HGLG11
23,RENDIMENTO,28/02/2019,18/03/2019,"0,75000000",HGLG11
24,RENDIMENTO,31/01/2019,14/02/2019,"0,75000000",HGLG11
25,RENDIMENTO,28/12/2018,15/01/2019,"0,75000000",HGLG11
26,RENDIMENTO,30/11/2018,14/12/2018,"0,75000000",HGLG11
27,RENDIMENTO,31/10/2018,16/11/2018,"0,75000000",HGLG11
28,RENDIMENTO,28/09/2018,15/10/2018,"0,75000000",HGLG11
29,RENDIMENTO,31/08/2018,17/09/2018,"0,75000000",HGLG11
30,RENDIMENTO,31/07/2018,14/08/2018,"0,75000000",HGLG11
31,RENDIMENTO,29/06/2018,13/07/2018,"0,75000000",HGLG11
32,RENDIMENTO,30/05/2018,14/06/2018,"0,87000000",HGLG11
33,RENDIMENTO,30/04/2018,15/05/2018,"0,87000000",HGLG11
34,RENDIMENTO,29/03/2018,13/04/2018,"0,87000000
report",HGLG11
35,RENDIMENTO,28/02/2018,14/03/2018,"0,87000000
report",HGLG11
36,RENDIMENTO,31/01/2018,16/02/2018,"0,87000000
report",HGLG11
37,RENDIMENTO,28/12/2017,15/01/2018,"0,87000000
report",HGLG11
38,RENDIMENTO,30/11/2017,14/12/2017,"0,87000000
report",HGLG11
39,RENDIMENTO,31/10/2017,16/11/2017,"0,87000000
report",HGLG11
40,RENDIMENTO,29/09/2017,16/10/2017,"0,87000000
report",HGLG11
41,RENDIMENTO,31/08/2017,15/09/2017,"0,87000000
report",HGLG11
42,RENDIMENTO,31/07/2017,14/08/2017,"0,87000000
report",HGLG11
43,RENDIMENTO,30/06/2017,14/07/2017,"0,87000000
report",HGLG11
44,RENDIMENTO,31/05/2017,14/06/2017,"0,87000000
report",HGLG11
45,RENDIMENTO,28/04/2017,15/05/2017,"0,87000000
report",HGLG11
46,RENDIMENTO,31/03/2017,17/04/2017,"0,87000000
report",HGLG11
47,RENDIMENTO,24/02/2017,14/03/2017,"0,87000000
report",HGLG11
48,RENDIMENTO,31/01/2017,14/02/2017,"0,87000000
report",HGLG11
49,RENDIMENTO,29/12/2016,13/01/2017,"0,87000000
report",HGLG11
50,RENDIMENTO,30/11/2016,14/12/2016,"0,87000000
report",HGLG11
51,RENDIMENTO,31/10/2016,16/11/2016,"0,87000000
report",HGLG11
52,RENDIMENTO,30/09/2016,17/10/2016,"0,87000000
report",HGLG11
53,RENDIMENTO,31/08/2016,15/09/2016,"0,87000000
report",HGLG11
54,RENDIMENTO,29/07/2016,12/08/2016,"0,87000000
report",HGLG11
55,RENDIMENTO,30/06/2016,14/07/2016,"0,87000000
report",HGLG11
0,RENDIMENTO,08/01/2021,19/01/2021,"0,60000000",MGFF11
1,RENDIMENTO,07/12/2020,16/12/2020,"0,50000000",MGFF11
2,RENDIMENTO,09/11/2020,18/11/2020,"0,50000000",MGFF11
3,RENDIMENTO,07/10/2020,19/10/2020,"0,50000000",MGFF11
4,RENDIMENTO,08/09/2020,17/09/2020,"0,49583988",MGFF11
5,RENDIMENTO,07/08/2020,14/08/2020,"0,56000000",MGFF11
6,RENDIMENTO,07/07/2020,16/07/2020,"0,62004417",MGFF11
7,RENDIMENTO,05/06/2020,17/06/2020,"0,60000000",MGFF11
8,RENDIMENTO,08/05/2020,19/05/2020,"0,60000000",MGFF11
9,RENDIMENTO,07/04/2020,17/04/2020,"0,60000000",MGFF11
10,RENDIMENTO,06/03/2020,17/03/2020,"0,70000000",MGFF11
11,RENDIMENTO,07/02/2020,14/02/2020,"0,70000000",MGFF11
12,RENDIMENTO,08/01/2020,17/01/2020,"0,80000000",MGFF11
13,RENDIMENTO,06/12/2019,17/12/2019,"0,70000000",MGFF11
14,RENDIMENTO,07/11/2019,19/11/2019,"0,70000000",MGFF11
15,RENDIMENTO,07/10/2019,16/10/2019,"0,70000000",MGFF11
16,RENDIMENTO,06/09/2019,17/09/2019,"0,70000000",MGFF11
17,RENDIMENTO,07/08/2019,16/08/2019,"0,75000000",MGFF11
18,RENDIMENTO,05/07/2019,17/07/2019,"0,80000000",MGFF11
19,RENDIMENTO,07/06/2019,14/06/2019,"0,90000000",MGFF11
20,RENDIMENTO,08/05/2019,17/05/2019,"0,90000000",MGFF11
21,RENDIMENTO,05/04/2019,16/04/2019,"0,75000000",MGFF11
22,RENDIMENTO,11/03/2019,20/03/2019,"0,70000000",MGFF11
23,RENDIMENTO,07/02/2019,18/02/2019,"0,70000000",MGFF11
24,RENDIMENTO,08/01/2019,17/01/2019,"0,70000000",MGFF11
25,RENDIMENTO,07/12/2018,18/12/2018,"0,70000000",MGFF11
26,RENDIMENTO,08/11/2018,21/11/2018,"0,72004167",MGFF11
27,RENDIMENTO,05/10/2018,15/10/2018,"0,50000000",MGFF11
28,RENDIMENTO,10/09/2018,19/09/2018,"0,43000000",MGFF11
29,RENDIMENTO,07/08/2018,16/08/2018,"0,36000000",MGFF11
30,RENDIMENTO,06/07/2018,18/07/2018,"0,28926181",MGFF11
31,RENDIMENTO,07/06/2018,18/06/2018,"0,30947000",MGFF11
32,RENDIMENTO,09/05/2018,16/05/2018,"0,32209500",MGFF11
0,RENDIMENTO,12/01/2021,19/01/2021,"1,59052082",IRDM11
1,RENDIMENTO,09/12/2020,16/12/2020,"1,37969107",IRDM11
2,RENDIMENTO,11/11/2020,18/11/2020,"1,22054874",IRDM11
3,RENDIMENTO,09/10/2020,19/10/2020,"1,15874632",IRDM11
4,RENDIMENTO,10/09/2020,17/09/2020,"1,05284264",IRDM11
5,RENDIMENTO,11/08/2020,18/08/2020,"0,84644025",IRDM11
6,RENDIMENTO,09/07/2020,16/07/2020,"0,92603654",IRDM11
7,RENDIMENTO,09/06/2020,17/06/2020,"0,76584885",IRDM11
8,RENDIMENTO,12/05/2020,19/05/2020,"0,70190993",IRDM11
9,RENDIMENTO,09/04/2020,17/04/2020,"0,70157886",IRDM11
10,RENDIMENTO,10/03/2020,17/03/2020,"0,95275087",IRDM11
11,RENDIMENTO,11/02/2020,18/02/2020,"1,04260879",IRDM11
12,RENDIMENTO,10/01/2020,17/01/2020,"0,80330081",IRDM11
13,RENDIMENTO,10/12/2019,17/12/2019,"1,28112082",IRDM11
14,RENDIMENTO,11/11/2019,19/11/2019,"0,80224462",IRDM11
15,RENDIMENTO,09/10/2019,16/10/2019,"0,79212366",IRDM11
16,RENDIMENTO,10/09/2019,17/09/2019,"1,14816832",IRDM11
17,RENDIMENTO,09/08/2019,16/08/2019,"0,64431819",IRDM11
18,RENDIMENTO,10/07/2019,17/07/2019,"0,85117307",IRDM11
19,RENDIMENTO,11/06/2019,18/06/2019,"0,79780359",IRDM11
20,RENDIMENTO,10/05/2019,17/05/2019,"0,79329704",IRDM11
21,RENDIMENTO,09/04/2019,16/04/2019,"0,82478815",IRDM11
22,RENDIMENTO,13/03/2019,20/03/2019,"0,53996339",IRDM11
23,RENDIMENTO,11/02/2019,18/02/2019,"0,79080000",IRDM11
24,RENDIMENTO,10/01/2019,17/01/2019,"0,86093161",IRDM11
25,RENDIMENTO,11/12/2018,18/12/2018,"0,97322523",IRDM11
26,RENDIMENTO,12/11/2018,21/11/2018,"0,92463997",IRDM11
27,RENDIMENTO,09/10/2018,17/10/2018,"0,65604571",IRDM11
28,RENDIMENTO,12/09/2018,19/09/2018,"0,90892645",IRDM11
29,RENDIMENTO,09/08/2018,16/08/2018,"0,84579586",IRDM11
30,RENDIMENTO,11/07/2018,18/07/2018,"0,72924231",IRDM11
31,RENDIMENTO,11/06/2018,18/06/2018,"0,33648616",IRDM11
32,RENDIMENTO,10/05/2018,17/05/2018,"0,35323616",IRDM11
33,RENDIMENTO,10/04/2018,17/04/2018,"0,35676730",IRDM11
0,RENDIMENTO,29/01/2021,12/02/2021,"0,08000000",MXRF11
1,RENDIMENTO,30/12/2020,15/01/2021,"0,07000000",MXRF11
2,RENDIMENTO,30/11/2020,14/12/2020,"0,06000000",MXRF11
3,RENDIMENTO,30/10/2020,16/11/2020,"0,06000000",MXRF11
4,RENDIMENTO,30/09/2020,15/10/2020,"0,07000000",MXRF11
5,RENDIMENTO,31/08/2020,15/09/2020,"0,07000000",MXRF11
6,RENDIMENTO,31/07/2020,14/08/2020,"0,07000000",MXRF11
7,RENDIMENTO,30/06/2020,14/07/2020,"0,07000000",MXRF11
8,RENDIMENTO,29/05/2020,15/06/2020,"0,07000000",MXRF11
9,RENDIMENTO,30/04/2020,15/05/2020,"0,07000000",MXRF11
10,RENDIMENTO,31/03/2020,14/04/2020,"0,08000000",MXRF11
11,RENDIMENTO,28/02/2020,06/03/2020,"0,09000000",MXRF11
12,RENDIMENTO,31/01/2020,14/02/2020,"0,08000000",MXRF11
13,RENDIMENTO,30/12/2019,14/01/2020,"0,13000000",MXRF11
14,RENDIMENTO,29/11/2019,12/12/2019,"0,09000000",MXRF11
15,RENDIMENTO,31/10/2019,14/11/2019,"0,09000000",MXRF11
16,RENDIMENTO,30/09/2019,15/10/2019,"0,09000000",MXRF11
17,RENDIMENTO,30/08/2019,12/09/2019,"0,07000000",MXRF11
18,RENDIMENTO,31/07/2019,15/08/2019,"0,07000000",MXRF11
19,RENDIMENTO,28/06/2019,15/07/2019,"0,07000000",MXRF11
20,RENDIMENTO,13/06/2019,14/06/2019,"0,07000000",MXRF11
21,RENDIMENTO,31/05/2019,14/06/2019,"0,07000000",MXRF11
22,RENDIMENTO,30/04/2019,15/05/2019,"0,07000000",MXRF11
23,RENDIMENTO,29/03/2019,15/04/2019,"0,07000000",MXRF11
24,RENDIMENTO,28/02/2019,15/03/2019,"0,07000000",MXRF11
25,RENDIMENTO,31/01/2019,14/02/2019,"0,06000000",MXRF11
26,RENDIMENTO,28/12/2018,15/01/2019,"0,06000000",MXRF11
27,RENDIMENTO,30/11/2018,17/12/2018,"0,06000000",MXRF11
28,RENDIMENTO,31/10/2018,16/11/2018,"0,06000000",MXRF11
29,RENDIMENTO,28/09/2018,15/10/2018,"0,07000000",MXRF11
30,RENDIMENTO,31/08/2018,17/09/2018,"0,07000000",MXRF11
31,RENDIMENTO,31/07/2018,14/08/2018,"0,08000000",MXRF11
32,RENDIMENTO,29/06/2018,13/07/2018,"0,10000000",MXRF11
33,RENDIMENTO,30/05/2018,15/06/2018,"0,08000000",MXRF11
34,RENDIMENTO,30/04/2018,15/05/2018,"0,06000000",MXRF11
35,RENDIMENTO,29/03/2018,16/04/2018,"0,06000000",MXRF11
36,RENDIMENTO,28/02/2018,15/03/2018,"0,07000000",MXRF11
37,RENDIMENTO,31/01/2018,15/02/2018,"0,06000000",MXRF11
38,RENDIMENTO,28/12/2017,15/01/2018,"0,05000000",MXRF11
39,RENDIMENTO,30/11/2017,14/12/2017,"0,06000000",MXRF11
40,RENDIMENTO,31/10/2017,16/11/2017,"0,06000000",MXRF11
41,RENDIMENTO,29/09/2017,16/10/2017,"0,07000000",MXRF11
42,RENDIMENTO,31/08/2017,15/09/2017,"0,06000000",MXRF11
43,RENDIMENTO,31/07/2017,14/08/2017,"0,07000000",MXRF11
44,RENDIMENTO,30/06/2017,14/07/2017,"0,06000000",MXRF11
45,RENDIMENTO,31/05/2017,14/06/2017,"0,10000000",MXRF11
46,RENDIMENTO,28/04/2017,15/05/2017,"0,09500000
report",MXRF11
47,RENDIMENTO,31/03/2017,17/04/2017,"0,09000000
report",MXRF11
48,RENDIMENTO,24/02/2017,14/03/2017,"0,08000000
report",MXRF11
49,RENDIMENTO,31/01/2017,14/02/2017,"0,08000000
report",MXRF11
50,RENDIMENTO,29/12/2016,13/01/2017,"0,08500000
report",MXRF11
51,RENDIMENTO,30/11/2016,14/12/2016,"0,08000000
report",MXRF11
52,RENDIMENTO,31/10/2016,16/11/2016,"0,08000000
report",MXRF11
53,RENDIMENTO,30/09/2016,17/10/2016,"0,08000000
report",MXRF11
54,RENDIMENTO,31/08/2016,15/09/2016,"0,08000000
report",MXRF11
55,RENDIMENTO,29/07/2016,12/08/2016,"0,08000000
report",MXRF11
56,RENDIMENTO,30/06/2016,14/07/2016,"0,12600000
report",MXRF11
0,RENDIMENTO,29/01/2021,12/02/2021,"0,60000000",VILG11
1,RENDIMENTO,30/12/2020,15/01/2021,"0,60000000",VILG11
2,RENDIMENTO,30/11/2020,14/12/2020,"0,60000000",VILG11
3,RENDIMENTO,30/10/2020,16/11/2020,"0,42000000",VILG11
4,RENDIMENTO,30/09/2020,15/10/2020,"0,50000000",VILG11
5,RENDIMENTO,31/08/2020,15/09/2020,"0,60000000",VILG11
6,RENDIMENTO,31/07/2020,14/08/2020,"0,60000000",VILG11
7,RENDIMENTO,30/06/2020,14/07/2020,"0,60000000",VILG11
8,RENDIMENTO,29/05/2020,15/06/2020,"0,52000000",VILG11
9,RENDIMENTO,30/04/2020,15/05/2020,"0,50000000",VILG11
10,RENDIMENTO,31/03/2020,14/04/2020,"0,60000000",VILG11
11,RENDIMENTO,28/02/2020,13/03/2020,"0,66000000",VILG11
12,RENDIMENTO,31/01/2020,14/02/2020,"0,68000000",VILG11
13,RENDIMENTO,30/12/2019,15/01/2020,"0,63000000",VILG11
14,RENDIMENTO,29/11/2019,13/12/2019,"0,71000000",VILG11
15,RENDIMENTO,31/10/2019,14/11/2019,"0,71000000",VILG11
16,RENDIMENTO,30/09/2019,14/10/2019,"0,71000000",VILG11
17,RENDIMENTO,30/08/2019,13/09/2019,"0,71000000",VILG11
18,RENDIMENTO,31/07/2019,14/08/2019,"0,73000000",VILG11
19,RENDIMENTO,28/06/2019,15/07/2019,"0,73000000",VILG11
20,RENDIMENTO,31/05/2019,14/06/2019,"0,80000000",VILG11
21,RENDIMENTO,30/04/2019,15/05/2019,"0,80000000",VILG11
22,RENDIMENTO,29/03/2019,12/04/2019,"0,78000000",VILG11
23,RENDIMENTO,28/02/2019,18/03/2019,"0,84600000
report",VILG11
24,RENDIMENTO,31/01/2019,14/02/2019,"0,36900000
report",VILG11
25,RENDIMENTO,28/12/2018,15/01/2019,"0,02178000
report",VILG11
